length_url,length_hostname,ip,nb_dots,nb_slash,http_in_path,google_index,page_rank,Label
52,18,0,2,7,0,1,2,1
32,24,1,2,3,0,1,5,1
34,11,0,1,3,0,0,10,0
27,19,0,3,3,0,0,2,0
92,22,1,2,8,0,1,1,1
102,12,0,2,7,0,0,5,0
32,23,0,2,3,0,0,3,0
29,20,0,2,3,0,0,3,0
119,24,0,4,9,0,1,4,1
59,21,0,2,6,0,0,4,0
54,19,0,2,3,0,0,4,0
151,10,1,3,3,1,1,0,1
84,25,0,3,5,0,0,4,0
55,10,0,3,6,0,1,2,1
18,9,0,1,3,0,0,2,0
39,16,0,2,3,0,0,10,0
28,19,0,2,3,0,0,3,0
32,16,0,3,3,0,0,5,0
16,9,0,1,2,0,0,2,0
23,12,0,1,4,0,1,0,1
29,21,0,3,3,0,0,4,0
29,20,0,2,3,0,0,0,1
41,15,0,2,4,0,0,5,0
22,6,0,1,3,0,1,9,1
52,14,0,3,5,0,1,0,1
38,20,0,3,6,0,1,2,1
30,21,0,3,3,0,0,2,0
76,50,1,4,4,0,1,0,1
430,13,1,24,21,4,1,0,1
37,19,0,2,3,0,1,4,0
73,23,0,3,3,0,0,6,0
56,15,0,2,5,0,1,0,1
70,13,0,1,5,0,1,5,0
70,20,0,3,5,0,1,5,1
52,19,0,2,5,0,1,5,0
31,22,0,2,3,0,0,2,0
90,19,1,4,6,0,1,1,1
45,15,1,3,5,0,0,3,0
55,20,0,3,4,0,0,4,0
65,12,0,3,6,0,1,0,1
41,33,0,2,3,0,1,2,1
71,25,1,2,4,0,1,0,1
83,16,0,2,7,0,1,10,1
73,18,1,1,5,0,1,0,1
44,30,0,2,3,0,1,0,1
114,16,0,4,8,1,0,3,1
127,50,1,4,4,0,1,0,1
99,20,0,4,4,0,0,0,1
56,20,0,2,7,0,1,1,1
51,17,0,3,4,0,1,7,0
51,14,0,5,4,0,1,0,1
40,24,0,2,5,0,0,3,0
33,14,0,3,6,0,1,1,1
88,20,0,2,6,0,0,5,0
122,18,0,2,5,0,0,7,0
53,20,0,3,4,0,0,4,0
46,37,0,6,3,0,1,1,1
36,29,0,2,2,0,1,5,1
31,23,0,2,3,0,0,4,0
48,16,0,2,6,0,0,5,0
101,6,0,2,5,0,1,2,1
41,19,0,3,4,0,0,3,0
43,35,0,4,3,0,1,0,1
15,8,0,1,2,0,0,2,0
42,10,0,3,3,0,1,4,0
51,15,0,1,4,0,0,5,0
48,27,0,3,4,0,1,0,1
49,19,0,1,5,0,0,5,0
25,13,0,1,3,0,0,1,1
49,15,0,2,5,0,0,7,0
48,25,0,3,3,0,0,5,0
108,25,0,4,6,0,1,0,1
39,20,0,2,4,0,1,0,1
80,20,0,4,5,0,1,4,0
36,17,0,2,3,0,1,4,0
28,19,0,2,3,0,0,4,0
33,14,0,2,3,0,1,3,1
23,14,0,3,3,0,0,4,0
77,18,0,2,4,0,0,8,0
342,19,1,5,5,0,1,2,1
38,29,0,2,3,0,1,2,1
73,22,0,2,4,0,1,5,0
33,15,0,2,4,0,0,10,0
67,17,0,3,6,0,1,2,1
39,18,0,2,4,0,1,5,0
24,15,0,2,3,0,0,4,0
26,17,0,2,3,0,0,3,0
39,7,0,2,6,0,0,6,0
62,22,1,3,3,0,1,0,1
41,13,0,2,4,0,1,1,1
40,31,0,2,3,0,1,5,1
51,26,0,3,3,0,0,3,0
59,12,0,2,5,0,1,5,0
50,20,0,3,5,0,0,6,0
52,25,0,2,4,0,1,0,1
43,15,0,2,4,0,1,0,1
94,42,0,3,5,0,1,3,1
60,15,0,4,4,0,0,3,0
18,11,0,1,2,0,0,2,0
204,27,0,2,5,0,0,7,1
94,24,1,7,4,0,0,10,1
41,33,0,4,3,0,1,0,1
19,11,0,2,3,0,1,0,1
35,22,0,2,3,0,1,0,1
63,26,0,3,6,0,1,2,1
53,21,0,2,6,0,1,0,1
75,44,0,4,6,0,1,5,1
35,27,0,2,2,0,1,3,1
210,14,0,4,3,1,0,10,1
44,13,0,1,3,0,0,5,0
150,40,1,5,4,0,1,0,1
39,22,0,3,4,0,1,2,1
64,15,0,2,9,0,1,2,1
106,20,1,4,7,0,0,3,1
34,20,0,2,4,0,0,0,1
65,16,0,2,4,0,0,7,0
60,14,0,3,8,0,1,2,1
25,14,0,1,4,0,1,0,1
39,21,0,2,4,0,0,5,0
38,15,0,3,4,0,0,4,0
129,8,0,2,6,0,1,0,1
52,15,0,2,5,0,0,5,0
30,14,1,3,4,0,1,0,1
33,24,0,2,3,0,0,8,0
118,27,1,3,5,0,0,4,0
27,20,0,1,2,0,0,2,0
78,16,0,3,9,0,0,6,0
35,27,0,2,3,0,1,2,1
32,18,0,1,4,0,1,0,1
64,39,0,5,4,0,1,5,1
38,29,0,2,3,0,1,2,1
24,15,0,3,3,0,0,4,0
68,15,0,3,5,0,0,5,0
126,50,1,4,5,0,1,0,1
41,16,0,2,4,0,0,7,0
48,16,0,2,4,0,0,7,0
29,21,0,2,3,0,0,2,0
24,15,0,2,3,0,0,2,0
50,17,0,3,4,0,0,7,0
126,50,1,4,4,0,1,0,1
39,11,0,2,6,0,0,6,0
102,15,1,1,9,0,1,0,1
31,23,0,2,3,0,0,2,0
86,22,1,3,4,0,1,0,1
78,16,0,2,8,0,0,4,0
29,20,0,3,3,0,0,2,0
33,12,1,2,3,0,0,8,0
27,12,0,1,4,0,0,0,1
24,15,0,2,3,0,0,2,0
39,20,0,2,4,0,0,4,0
28,21,0,2,2,0,0,4,0
102,24,1,3,3,0,0,5,1
43,18,0,2,4,0,1,4,0
27,19,0,2,3,0,0,4,0
101,17,0,2,7,0,0,7,0
60,28,0,3,3,0,0,4,0
38,13,0,3,3,0,0,4,0
19,10,0,1,3,0,1,0,1
137,15,0,3,4,0,1,5,0
263,179,1,14,5,0,1,0,1
22,6,0,1,3,0,1,9,1
89,21,0,3,6,0,1,0,1
28,19,0,2,3,0,0,3,0
49,26,0,3,3,0,0,5,0
45,36,0,4,3,0,1,5,1
30,22,0,2,3,0,0,2,1
54,10,0,2,5,0,1,2,1
29,22,0,2,2,0,0,2,0
86,16,0,3,6,0,1,2,1
26,18,0,2,3,0,1,0,1
83,20,1,2,4,0,0,7,0
49,28,0,2,3,0,1,0,1
33,12,1,2,3,0,0,8,0
40,18,0,2,4,0,0,6,0
56,18,0,2,5,0,1,5,0
27,18,0,2,3,0,0,2,0
70,33,0,3,3,0,0,3,0
128,120,0,10,3,0,1,0,1
25,6,0,1,3,0,1,6,1
33,16,0,2,4,0,0,10,0
52,16,0,2,4,0,0,7,0
31,22,0,2,3,0,0,5,0
41,32,0,2,3,0,1,5,1
33,24,0,2,3,0,0,2,0
32,23,0,1,3,0,1,0,1
66,30,0,3,5,0,0,1,0
85,14,0,2,7,0,0,6,0
52,20,0,2,4,0,0,7,0
109,19,0,3,4,0,0,5,0
84,20,0,1,4,0,0,4,0
110,16,0,2,5,0,0,10,1
171,25,1,2,7,0,1,0,1
17,9,0,1,3,0,0,3,0
19,12,0,1,2,0,0,2,0
98,14,1,4,10,0,1,0,1
32,24,0,2,3,0,1,4,1
28,20,0,3,2,0,0,4,0
64,31,0,3,5,0,1,3,1
40,16,0,2,4,0,0,7,0
132,32,0,2,7,0,1,4,1
124,24,0,2,7,0,1,4,1
51,18,0,2,6,0,1,2,1
141,48,1,2,5,0,1,0,1
126,50,1,4,4,0,1,0,1
21,14,0,2,2,0,0,1,0
53,14,0,2,6,0,1,5,0
27,18,0,2,3,0,0,3,0
76,14,1,2,6,0,1,0,1
79,32,0,2,4,0,1,4,0
77,23,1,1,5,0,1,2,1
35,18,0,2,5,0,0,2,0
56,21,0,3,3,0,0,5,0
49,22,0,3,5,0,1,5,0
41,20,0,2,4,0,0,5,0
84,20,1,2,5,0,1,0,1
29,20,0,2,3,0,0,5,0
21,12,0,2,3,0,0,3,0
35,13,0,3,3,0,0,5,0
28,19,0,2,3,0,0,3,0
97,25,0,5,7,0,0,3,1
36,14,0,1,4,0,0,0,1
63,19,0,3,4,0,1,4,0
24,17,0,2,2,0,0,2,0
40,33,0,2,2,0,1,5,1
85,17,0,2,10,0,1,0,1
56,39,0,5,3,0,1,5,1
49,11,0,2,6,0,1,0,1
23,10,0,1,3,0,1,0,1
64,16,0,2,7,0,1,0,1
46,20,0,3,6,0,1,0,1
36,9,0,2,5,0,1,0,1
29,22,0,2,2,0,0,4,0
55,28,0,2,4,0,1,0,1
45,25,0,2,3,0,0,6,0
33,25,0,2,3,0,0,4,0
231,23,1,3,6,0,1,0,1
30,17,0,2,3,0,1,0,1
31,23,0,2,3,0,0,4,0
27,18,0,2,3,0,0,3,0
81,27,1,2,5,0,1,2,1
58,16,1,2,3,0,0,6,0
28,19,0,2,3,0,0,5,0
25,16,0,2,3,0,0,5,0
87,13,0,5,7,0,1,0,1
28,19,0,2,3,0,1,7,0
133,13,0,2,8,0,1,6,0
26,17,0,3,3,0,0,4,0
36,15,0,1,6,0,1,1,1
29,15,0,1,3,0,0,1,1
37,28,0,2,3,0,1,5,1
33,24,0,2,3,0,0,4,0
47,15,0,2,3,0,0,6,0
26,17,0,2,3,0,0,5,0
93,22,0,5,6,0,1,1,1
44,27,0,4,4,0,0,6,0
34,26,0,2,3,0,1,0,1
63,22,0,2,4,0,0,4,0
56,36,0,5,3,0,1,5,1
28,20,0,2,2,0,1,5,1
51,21,0,3,3,0,0,5,0
50,16,0,3,4,0,1,3,1
70,17,0,3,6,0,0,5,0
41,12,0,2,4,0,0,4,0
74,17,1,2,4,0,0,5,0
26,17,0,2,3,0,0,3,0
114,19,0,3,5,1,0,4,0
49,26,0,1,4,0,1,2,1
26,17,0,2,3,0,0,2,0
42,14,0,2,5,0,0,8,0
28,19,0,1,3,0,0,2,0
29,20,0,2,3,0,0,5,0
32,15,0,2,4,0,1,3,0
34,25,0,2,3,0,1,4,1
51,27,0,2,4,0,1,0,1
78,17,0,2,4,0,0,6,0
43,29,0,4,3,0,1,0,1
154,28,0,2,7,0,1,4,1
35,26,0,3,3,0,0,3,0
54,22,0,3,3,0,0,2,0
35,27,0,2,3,0,0,0,0
25,16,0,1,3,0,0,3,0
27,19,0,2,3,0,0,0,0
61,12,1,4,5,0,1,0,1
41,30,0,2,3,0,1,4,1
47,13,0,2,6,0,1,0,1
19,11,0,2,3,0,0,0,0
38,18,0,2,3,0,0,5,0
64,19,0,3,5,0,0,2,0
271,20,1,5,10,0,1,3,1
50,10,0,1,7,0,1,0,1
80,23,1,3,5,0,0,4,0
67,28,0,2,6,0,1,0,1
282,30,1,3,7,0,1,4,1
144,37,0,2,7,0,1,4,1
52,20,0,1,5,0,1,0,1
28,19,0,2,3,0,0,5,0
50,20,0,3,5,0,0,6,0
60,19,0,3,5,0,1,0,0
87,18,0,2,4,0,0,8,0
35,18,0,3,3,0,1,0,1
102,15,1,4,7,0,1,0,1
63,23,0,2,3,0,0,4,0
36,27,0,2,3,0,1,2,1
21,12,0,2,3,0,0,4,0
238,17,1,3,3,0,0,5,1
36,13,1,4,3,0,0,0,1
38,29,0,2,3,0,0,3,0
88,14,1,5,7,0,1,0,1
29,21,0,2,3,0,1,1,1
27,17,0,2,3,0,1,0,1
101,15,0,2,7,0,1,10,1
18,11,0,2,2,0,0,2,0
27,15,0,2,4,0,0,1,1
28,15,0,2,3,0,1,10,0
36,14,0,1,4,0,0,2,1
53,14,0,2,4,0,0,5,0
66,13,1,3,7,0,1,3,1
35,26,0,2,3,0,1,5,1
27,13,0,1,3,0,1,6,1
21,13,1,3,3,0,0,0,1
123,19,0,2,4,0,0,6,0
47,18,0,4,4,0,1,5,0
59,15,0,3,4,0,0,4,0
15,4,0,1,3,0,1,4,1
26,18,0,2,3,0,0,3,0
82,36,0,5,4,0,1,5,1
77,16,0,2,6,0,0,5,0
38,13,0,3,5,0,1,3,1
39,32,0,2,2,0,1,5,1
42,15,0,2,4,0,1,7,0
33,19,0,2,4,0,0,3,0
53,36,0,2,3,0,1,5,1
44,16,0,3,4,0,0,2,0
23,15,0,2,3,0,0,3,0
17,10,0,1,2,0,0,2,0
26,18,0,2,3,0,0,1,0
129,54,1,5,5,0,1,0,1
42,34,0,2,3,0,1,2,1
52,19,0,2,4,0,1,5,0
27,19,0,2,3,0,0,1,0
43,14,0,3,5,0,0,3,0
28,20,0,2,3,0,0,5,0
97,21,0,3,7,0,1,5,0
28,20,0,2,3,0,0,2,1
27,19,0,2,3,0,0,1,0
35,19,0,3,3,0,1,0,1
62,19,0,2,4,0,0,5,0
127,50,1,4,4,0,1,0,1
29,22,0,2,2,0,1,1,1
33,16,0,2,4,0,1,5,1
72,17,0,3,5,0,0,5,0
33,25,0,2,2,0,0,2,0
40,18,0,2,4,0,0,6,0
61,42,0,5,3,0,1,5,1
51,32,0,2,5,0,0,4,0
44,10,0,1,3,0,0,6,0
259,12,0,2,4,0,1,1,1
57,21,0,2,7,0,1,0,1
31,22,0,2,3,0,0,3,0
47,15,0,3,5,0,1,0,1
93,26,0,3,5,0,0,4,0
49,18,0,2,4,0,0,6,0
22,13,0,2,3,0,0,5,0
45,21,0,2,4,0,0,5,0
105,29,0,2,6,0,1,4,1
109,21,0,4,4,0,0,0,1
40,33,0,2,2,0,0,2,0
24,5,0,1,3,0,1,5,1
37,17,0,2,5,0,1,2,1
152,13,0,2,3,0,1,7,0
124,46,1,5,5,0,1,0,1
35,15,0,2,3,0,1,2,1
126,50,1,4,4,0,1,0,1
51,24,0,3,5,0,1,2,0
126,61,1,3,3,0,1,0,1
49,25,0,2,3,0,0,6,0
46,17,0,2,4,0,0,4,0
31,16,0,2,3,0,0,10,0
45,15,0,2,4,0,0,6,0
36,27,0,2,3,0,0,8,0
56,29,0,2,4,0,1,4,0
54,19,0,2,4,0,1,5,0
76,50,1,4,4,0,1,0,1
29,20,0,2,3,0,0,2,0
70,16,0,2,6,0,1,10,1
22,14,1,3,3,0,0,0,1
46,38,0,2,3,0,0,7,0
53,15,0,2,3,0,0,6,0
105,20,0,5,10,0,1,3,1
64,18,1,2,6,0,0,5,0
29,20,0,2,3,0,0,4,0
47,18,0,3,4,0,0,6,0
126,61,1,3,3,0,1,0,1
37,28,0,2,3,0,0,8,0
42,20,0,2,5,0,0,6,0
15,8,0,1,2,0,0,0,0
44,13,1,3,4,0,0,4,0
71,23,0,3,4,0,0,4,0
72,25,0,2,5,0,1,1,1
48,24,0,3,4,0,1,5,0
29,22,0,2,2,0,0,5,0
71,17,1,2,5,0,0,7,0
32,24,0,2,3,0,0,5,0
59,18,1,2,4,0,1,0,1
55,28,0,2,3,0,1,2,1
26,17,0,2,3,0,0,0,0
32,12,0,2,5,0,1,2,1
34,26,0,2,3,0,0,4,0
115,12,1,3,5,0,1,2,0
33,14,0,2,3,0,1,3,1
74,20,0,3,4,0,0,6,0
77,23,1,1,5,0,1,2,1
18,11,0,1,2,0,0,3,0
62,22,0,2,5,0,0,5,0
56,17,0,2,4,0,1,5,0
53,44,1,4,3,0,1,5,1
27,15,0,1,3,0,0,5,0
84,59,0,8,4,0,1,2,1
56,18,0,1,7,0,1,0,1
552,25,1,5,5,1,1,4,0
110,13,0,2,6,0,0,8,0
102,15,1,1,9,0,1,0,1
32,24,0,2,3,0,0,3,0
99,30,0,4,5,0,1,8,0
19,10,0,2,3,0,0,5,0
34,13,0,2,3,0,0,4,0
103,18,0,2,5,0,0,5,0
45,8,0,1,5,0,1,2,1
31,24,0,2,2,0,0,5,1
24,15,0,2,3,0,0,4,0
76,31,0,3,5,0,1,0,1
393,12,1,24,21,4,1,0,1
45,17,0,1,3,0,0,2,1
36,28,0,2,3,0,0,2,1
409,25,1,3,4,0,1,4,1
76,68,0,7,3,0,1,1,1
24,17,0,2,2,0,0,4,0
49,15,0,2,7,0,0,5,0
40,13,0,4,5,0,1,5,0
29,20,0,2,3,0,0,3,0
22,15,0,2,2,0,1,0,1
34,15,0,1,4,0,0,7,0
121,57,1,2,4,0,1,0,1
64,10,0,3,6,0,1,7,0
38,29,0,2,3,0,0,4,0
25,12,0,1,3,0,1,3,0
50,20,0,2,4,0,1,0,1
89,16,0,2,11,0,1,3,1
58,28,0,2,4,0,0,5,0
29,22,0,2,2,0,0,5,0
30,21,0,2,3,0,0,2,0
71,16,1,3,6,0,1,6,0
44,35,0,2,3,0,1,5,1
58,16,0,3,3,0,0,5,0
56,47,0,2,3,0,0,8,0
42,34,0,2,3,0,1,0,1
36,13,0,3,4,0,0,5,0
38,30,0,2,3,0,0,3,0
33,24,1,2,3,0,1,5,1
35,27,0,2,3,0,1,0,1
47,38,0,2,3,0,1,1,1
26,17,0,2,3,0,0,2,0
29,14,0,2,3,0,1,4,1
32,23,0,2,3,0,0,2,0
67,10,0,1,5,0,0,4,0
27,18,0,2,3,0,0,4,0
106,22,0,3,11,0,1,3,1
70,25,0,1,6,0,0,3,0
163,15,0,1,8,0,1,0,1
31,22,0,2,3,0,0,8,0
85,16,0,2,7,0,0,0,1
44,22,0,3,4,0,1,1,1
54,14,0,1,5,0,1,0,1
54,19,0,3,4,0,0,5,0
29,20,0,2,3,0,0,1,0
38,7,0,1,3,0,0,7,0
20,12,0,2,3,0,0,5,0
27,19,0,2,3,0,0,4,0
22,6,0,1,3,0,1,9,1
63,18,0,2,4,0,0,7,0
73,25,0,3,5,0,1,4,0
81,27,1,2,5,0,1,2,1
216,18,1,2,5,0,1,2,1
83,16,0,2,7,0,1,10,1
30,21,0,2,3,0,0,4,0
25,16,0,2,3,0,0,1,0
38,19,0,2,4,0,1,2,1
68,17,0,3,4,0,0,2,1
71,35,0,2,4,0,1,0,1
23,11,0,1,3,0,0,10,0
37,14,0,2,5,0,1,0,1
28,19,0,2,3,0,0,3,0
43,34,0,2,3,0,1,4,1
36,7,0,1,4,0,0,5,0
50,42,0,4,3,0,0,0,1
44,36,0,3,3,0,1,5,1
128,50,1,4,5,0,1,0,1
58,19,0,3,5,0,0,4,0
66,17,0,2,5,0,0,3,0
241,63,1,5,6,0,1,0,1
44,18,0,2,4,0,0,6,0
18,9,0,1,3,0,0,2,0
39,14,0,2,4,0,1,0,1
46,17,0,3,4,0,0,7,0
51,22,0,3,5,0,1,5,1
25,17,0,2,3,0,0,1,0
37,24,0,2,3,0,0,8,0
52,16,0,3,5,0,0,6,0
26,17,0,2,3,0,0,4,0
25,16,0,2,3,0,0,2,0
34,13,0,1,5,0,1,0,1
56,17,0,4,6,0,1,0,1
32,12,0,1,4,0,0,4,0
26,17,0,2,3,0,1,2,1
77,23,1,1,5,0,1,2,1
57,21,0,2,4,0,1,2,1
59,41,0,4,3,0,1,5,1
102,15,1,1,9,0,1,0,1
39,13,0,1,6,0,1,2,1
35,23,0,2,4,0,0,0,0
28,20,0,2,3,0,0,0,1
30,23,0,2,2,0,1,5,1
101,24,0,2,5,0,0,5,0
30,23,0,3,2,0,0,2,0
44,35,0,4,3,0,1,5,1
39,22,0,1,4,0,1,0,1
90,23,0,3,3,0,0,6,0
34,15,0,1,5,0,1,2,1
36,11,0,2,5,0,1,0,1
37,16,0,2,4,0,0,7,0
39,17,0,2,4,0,0,5,0
42,33,0,4,3,0,1,3,1
48,20,0,2,5,0,1,0,1
75,12,0,2,8,0,1,0,1
25,16,0,2,3,0,0,3,0
50,20,0,3,4,0,0,4,0
92,17,0,3,8,0,1,2,1
31,24,0,2,2,0,1,5,1
25,18,0,1,2,0,0,2,0
41,33,0,3,3,0,1,1,1
22,14,0,2,3,0,0,4,0
76,15,1,2,4,0,1,0,1
40,14,0,1,4,0,0,5,0
51,32,0,3,3,0,1,2,1
60,14,0,2,5,0,0,4,0
33,25,0,2,3,0,0,2,0
131,23,1,2,4,0,1,0,1
68,15,0,2,8,0,1,1,1
51,22,1,2,5,0,1,4,1
45,17,0,2,6,0,1,3,1
67,16,0,2,6,0,0,5,0
24,15,0,2,3,0,0,4,0
92,15,1,3,9,0,1,1,1
34,27,0,2,2,0,1,2,1
54,13,0,2,6,0,1,6,0
40,33,0,2,2,0,1,5,1
70,17,0,2,5,0,0,7,0
18,4,0,1,3,0,1,6,1
126,50,1,4,4,0,1,0,1
24,16,0,3,3,0,0,3,0
54,15,1,2,4,0,0,9,0
66,20,0,3,5,0,0,5,0
29,20,0,2,3,0,0,2,0
22,13,0,2,3,0,1,1,1
78,16,1,2,5,0,1,4,0
98,16,0,3,7,0,1,0,1
44,14,1,3,5,0,0,3,0
124,46,1,5,5,0,1,0,1
45,16,0,2,4,0,0,7,0
48,28,0,5,3,0,1,5,1
28,6,0,1,3,0,1,9,1
63,26,0,3,4,0,0,5,0
58,16,0,2,4,0,0,5,0
51,42,1,2,3,0,1,5,1
23,15,0,2,3,0,0,3,0
23,15,0,2,3,0,0,0,0
58,21,0,2,4,0,0,5,0
54,11,0,2,4,0,1,6,1
392,11,1,24,21,4,1,0,1
78,17,1,1,6,0,1,3,0
57,17,0,2,4,0,1,4,0
46,37,0,4,3,0,1,5,1
43,25,0,5,3,0,1,5,1
51,14,1,3,4,0,0,3,1
53,20,0,2,6,0,1,2,1
57,40,0,5,3,0,1,2,1
30,21,0,2,3,0,0,5,0
46,14,0,2,6,0,0,5,0
192,11,1,15,4,0,1,0,1
18,9,0,1,3,0,0,4,0
33,24,0,1,3,0,1,0,1
22,13,0,2,3,0,0,3,0
28,19,0,2,3,0,0,4,0
28,21,0,2,2,0,0,4,0
77,47,0,4,4,0,1,0,1
64,16,0,3,7,0,1,2,1
58,24,0,3,3,0,0,5,0
47,16,0,3,3,0,0,5,1
17,8,0,1,3,0,0,3,0
68,12,1,3,3,0,0,6,0
21,12,0,2,3,0,0,3,0
172,20,1,6,4,0,1,0,1
19,12,0,2,2,0,0,1,0
50,18,0,3,3,0,1,2,1
58,40,0,5,3,0,1,5,1
78,69,1,4,3,0,1,5,1
61,16,0,2,5,0,1,6,0
28,19,0,2,3,0,0,3,0
21,14,0,1,2,0,0,0,0
44,27,0,2,3,0,0,5,0
46,38,0,2,3,0,1,5,0
32,24,0,2,3,0,1,0,1
34,26,0,2,3,0,1,1,1
187,20,1,6,6,0,1,0,1
66,11,0,3,7,0,1,2,1
70,31,0,3,5,0,1,3,1
25,12,0,2,4,0,1,3,1
54,11,0,2,4,0,1,6,1
42,34,0,2,3,0,0,2,0
62,17,0,2,4,0,0,5,0
77,23,1,1,5,0,1,2,1
74,39,0,3,4,0,1,0,1
128,50,1,4,5,0,1,0,1
123,46,1,5,4,0,1,0,1
43,15,0,3,4,0,0,5,0
29,20,1,2,3,0,0,4,0
91,25,0,3,5,0,0,4,0
25,16,0,2,3,0,0,2,0
103,17,0,3,4,0,1,4,0
24,15,0,1,3,0,0,0,0
260,11,0,6,5,0,1,0,1
163,19,0,5,9,0,1,0,1
49,14,0,3,4,0,1,6,0
25,17,0,2,3,0,0,4,0
34,25,0,2,3,0,1,5,1
70,16,0,5,6,0,1,1,1
44,11,0,2,5,0,1,0,1
76,16,0,3,6,1,0,3,1
21,12,0,2,3,0,0,3,0
65,24,0,3,4,0,0,0,0
35,26,0,2,3,0,0,2,0
53,19,0,4,5,0,0,5,0
77,28,1,2,5,0,1,0,1
25,16,0,2,3,0,0,3,0
229,8,1,3,8,0,1,0,1
43,12,0,3,5,0,0,5,0
71,22,0,3,7,0,1,2,1
49,28,0,2,5,0,1,0,1
44,24,0,3,3,0,1,2,1
66,14,0,3,3,0,0,2,0
56,29,0,2,4,0,1,0,1
39,17,0,2,4,0,1,4,1
42,14,0,3,5,0,1,3,0
24,15,0,2,3,0,0,4,0
31,22,0,2,3,0,0,2,0
113,15,1,2,3,0,0,6,0
113,15,0,2,7,0,1,10,1
33,16,0,2,4,0,0,7,0
29,20,0,2,3,0,0,3,0
81,33,0,4,5,0,1,8,0
30,21,0,2,3,0,1,8,1
49,18,0,3,5,0,1,3,1
60,13,0,2,3,0,0,7,0
22,13,0,2,3,0,1,1,1
260,12,0,2,4,0,1,1,1
47,16,0,2,5,0,1,2,1
32,23,0,3,3,0,0,2,0
21,9,0,2,4,0,0,3,0
38,12,0,1,5,0,0,6,0
33,25,0,2,3,0,0,0,1
31,23,0,2,3,0,1,2,1
37,17,0,1,4,0,1,2,1
86,17,0,3,4,0,1,0,1
126,50,1,4,4,0,1,0,1
87,18,0,1,4,0,1,5,0
25,16,0,1,3,0,0,1,1
53,35,1,4,3,0,1,5,1
45,13,0,2,4,0,0,5,0
154,44,1,6,4,0,1,0,1
40,16,0,2,3,0,0,10,0
38,25,0,2,3,0,1,6,1
28,19,0,4,3,0,0,3,0
31,23,0,2,3,0,1,2,1
58,25,0,2,4,0,1,3,0
18,10,0,2,3,0,0,4,0
76,50,1,4,4,0,1,0,1
77,23,1,1,5,0,1,2,1
95,37,0,3,7,0,1,4,1
27,18,0,2,3,0,0,4,0
56,16,0,2,7,0,1,0,1
30,22,0,2,3,0,0,3,0
39,16,0,2,4,0,1,10,0
48,28,0,1,5,0,1,0,1
